Title,Rating,Votes,Duration
138. Unstoppable,6.8, (4.7K),1h 56m
139. Slap Shot,7.2, (44K),2h 3m
140. The Hurricane,7.6, (106K),2h 26m
141. Balls of Fury,5.4, (46K),1h 30m
142. Draft Day,6.8, (71K),1h 50m
143. The Game Plan,6.4, (103K),1h 50m
144. Redline,7.5, (19K),1h 42m
145. For Love of the Game,6.6, (40K),2h 17m
146. Sultan,7.1, (56K),2h 50m
147. Touchback,6.5, (4.7K),1h 58m
148. Shaolin Soccer,7.3, (94K),1h 27m
149. 3 Ninjas,5.4, (24K),1h 24m
150. Lords of Dogtown,7.1, (60K),1h 47m
151. Invictus,7.3, (172K),2h 14m
152. Hoosiers,7.4, (55K),1h 54m
153. The Long Game,6.7, (7.7K),1h 52m
154. Miracle,7.5, (62K),2h 15m
155. White Men Can't Jump,6.8, (103K),1h 55m
156. Little Giants,6.5, (32K),1h 47m
157. Eddie the Eagle,7.3, (105K),1h 46m
158. The Ringer,5.8, (40K),1h 34m
159. The Longest Yard,7.1, (23K),2h 1m
160. Herbie: Fully Loaded,4.9, (53K),1h 41m
161. The Program,6.5, (20K),1h 44m
162. Kickboxer,6.4, (65K),1h 37m
163. Seabiscuit,7.3, (79K),2h 20m
164. Soul Surfer,7.0, (55K),1h 52m
165. Never Back Down,6.5, (110K),1h 53m
166. Facing the Giants,6.5, (19K),1h 51m
167. Invincible,7.0, (78K),1h 45m
168. Ali,6.7, (109K),2h 37m
169. Tin Cup,6.4, (55K),2h 15m
170. Pawn Sacrifice,7.0, (53K),1h 55m
171. He Got Game,6.9, (54K),2h 16m
172. Goon,6.8, (93K),1h 32m
173. Battle of the Sexes,6.7, (62K),2h 1m
174. True Spirit,6.8, (12K),1h 49m
175. The Swimmers,7.4, (39K),2h 14m
176. Concussion,7.1, (103K),2h 3m
177. Nyad,7.1, (44K),2h 1m
178. Champions,6.8, (34K),2h 4m
179. Secretariat,7.2, (32K),2h 3m
180. The Hustler,7.9, (90K),2h 14m
181. Race,7.1, (43K),2h 14m
182. Planes,5.7, (51K),1h 31m
183. The Bronze,6.1, (14K),1h 40m
184. I Am Zlatan,6.2, (4.7K),1h 40m
185. American Underdog,7.1, (27K),1h 52m
186. Gridiron Gang,7.1, (83K),2h 5m
187. Lagaan: Once Upon a Time in India,8.1, (125K),3h 44m
188. D2: The Mighty Ducks,6.1, (45K),1h 46m
189. Home Team,6.0, (23K),1h 35m
190. Hidalgo,6.7, (88K),2h 16m
191. Icarus,7.9, (57K),2h
192. Love & Basketball,7.2, (26K),2h 4m
193. The Greatest Game Ever Played,7.4, (35K),2h
194. The Cutting Edge,6.9, (24K),1h 41m
195. Death Race 2000,6.2, (33K),1h 20m
196. Heaven Can Wait,6.9, (25K),1h 41m
197. The Next Karate Kid,4.6, (37K),1h 47m
198. Lionheart,6.2, (42K),1h 48m
199. Haikyu!! The Dumpster Battle,7.7, (6.8K),1h 25m
200. Little Angels,2.3, (119),1h 50m
201. Bleed for This,6.8, (33K),1h 57m
202. Heart of Champions,6.0, (3.7K),1h 59m
203. Oxford Blues,5.3, (3.7K),1h 37m
204. Bad News Bears,5.8, (24K),1h 53m
205. Shelter,7.6, (25K),1h 37m
206. The Way Back,6.7, (55K),1h 48m
207. A Prayer Before Dawn,6.8, (28K),1h 56m
208. Hardball,6.4, (35K),1h 46m
