Title,Rating,Votes,Duration
138. The Way Way Back,7.4, (162K),1h 43m
139. Cars,7.3, (512K),1h 56m
140. Don't Look Up,7.2, (647K),2h 18m
141. Hostile Takeover,4.7, (219),1h 29m
142. Grease,7.2, (318K),1h 50m
143. The Lost Boys,7.2, (172K),1h 37m
144. Ghostbusters,7.8, (474K),1h 45m
146. The Princess Diaries,6.4, (176K),1h 55m
147. The Idea of You,6.3, (77K),1h 55m
148. Splitsville,6.8, (186),1h 40m
149. Love & Other Drugs,6.7, (241K),1h 52m
150. Almost Famous,7.9, (307K),2h 2m
151. Varsity Blues,6.5, (51K),1h 46m
152. Tommy Boy,7.1, (102K),1h 37m
153. BlackBerry,7.3, (61K),2h
154. Guns Up,5.3, (1.8K),1h 32m
155. Game Night,6.9, (268K),1h 40m
156. Dumb and Dumber,7.3, (433K),1h 47m
157. Challengers,7.0, (162K),2h 11m
158. The Holdovers,7.9, (205K),2h 13m
159. Napoleon Dynamite,7.0, (250K),1h 36m
160. Glass Onion,7.1, (483K),2h 19m
161. Grown Ups 2,5.4, (184K),1h 41m
162. Babylon,7.1, (197K),3h 9m
163. Ratatouille,8.1, (901K),1h 51m
"164. Crazy, Stupid, Love.",7.4, (599K),1h 58m
165. Scary Movie,6.3, (307K),1h 28m
166. Jojo Rabbit,7.9, (472K),1h 48m
167. The Banshees of Inisherin,7.7, (283K),1h 54m
168. No Hard Feelings,6.3, (203K),1h 43m
169. The Intern,7.1, (299K),2h 1m
170. Finding Nemo,8.2, (1.2M),1h 40m
171. Kingsman: The Secret Service,7.7, (759K),2h 9m
172. Mamma Mia!,6.5, (295K),1h 48m
173. The Breakfast Club,7.8, (461K),1h 37m
174. That's My Boy,5.6, (117K),1h 56m
175. Deadpool,8.0, (1.2M),1h 48m
176. Moana 2,6.5, (114K),1h 40m
177. Dungeons & Dragons: Honor Among Thieves,7.2, (264K),2h 14m
178. The Girl Next Door,6.7, (255K),1h 49m
179. Old School,7.0, (253K),1h 28m
180. Secretary,6.9, (106K),1h 47m
181. Ferris Bueller's Day Off,7.8, (406K),1h 43m
182. He's Just Not That Into You,6.4, (190K),2h 9m
183. Love Actually,7.5, (561K),2h 15m
184. 500 Days of Summer,7.6, (598K),1h 35m
185. She's All That,6.0, (109K),1h 35m
186. Men in Black,7.3, (646K),1h 38m
187. Hit Man,6.8, (120K),1h 55m
188. Little Miss Sunshine,7.8, (543K),1h 41m
189. The Terminal,7.4, (519K),2h 8m
190. Click,6.4, (376K),1h 47m
191. Hook,6.8, (284K),2h 22m
192. Guardians of the Galaxy Vol. 2,7.6, (805K),2h 16m
193. Ted,6.9, (691K),1h 46m
194. Jolt,5.6, (38K),1h 31m
195. White Chicks,5.9, (182K),1h 49m
196. Amélie,8.3, (824K),2h 2m
197. The 40-Year-Old Virgin,7.1, (489K),1h 56m
198. Before Sunrise,8.1, (364K),1h 41m
199. The Taming of The Shrew,7.1, (9.2K),2h 2m
200. The Secret Life of Walter Mitty,7.3, (360K),1h 54m
201. Jumanji: Welcome to the Jungle,7.0, (485K),1h 59m
202. Hot Fuzz,7.8, (556K),2h 1m
203. EuroTrip,6.6, (237K),1h 32m
204. Miller's Girl,5.2, (25K),1h 33m
205. 3 Idiots,8.4, (465K),2h 50m
206. Just Go with It,6.4, (281K),1h 57m
207. Burn After Reading,7.0, (367K),1h 36m
208. Sex and the City,5.7, (131K),2h 25m
209. Toy Story,8.3, (1.1M),1h 21m
210. Fast Times at Ridgemont High,7.1, (122K),1h 30m
211. The Worst Person in the World,7.7, (114K),2h 8m
212. Ready or Not,6.8, (221K),1h 35m
213. Palm Springs,7.4, (203K),1h 30m
214. Rush Hour,7.0, (316K),1h 38m
215. Zoolander,6.5, (309K),1h 30m
217. Lilo & Stitch,7.4, (236K),1h 25m
218. Heart Eyes,6.1, (27K),1h 37m
219. Matilda,7.0, (188K),1h 38m
220. Home Alone,7.7, (703K),1h 43m
221. 50 First Dates,6.8, (403K),1h 39m
222. Spider-Man: Far from Home,7.4, (609K),2h 9m
223. Pretty Woman,7.1, (391K),1h 59m
224. Thor: Ragnarok,7.9, (867K),2h 10m
225. Back in Action,5.9, (60K),1h 54m
226. Ebony and Ivory,4.7, (133),1h 28m
227. The Super Mario Bros. Movie,7.0, (274K),1h 32m
228. Demolition,7.0, (126K),1h 41m
229. Another Simple Favor,5.3, (27K),2h
230. Groundhog Day,8.0, (723K),1h 41m
231. Spermageddon,5.4, (1.7K),1h 20m
232. A Man Called Otto,7.5, (198K),2h 6m
233. Lost in Translation,7.7, (515K),1h 42m
234. Thor: Love and Thunder,6.1, (442K),1h 58m
235. Yesterday,6.8, (178K),1h 56m
236. The Proposal,6.8, (385K),1h 48m
237. 21 Jump Street,7.2, (628K),1h 49m
238. This Is Spinal Tap,7.9, (153K),1h 22m
239. Shaun of the Dead,7.9, (625K),1h 39m
240. Shrek,7.9, (783K),1h 30m
241. Incredibles 2,7.5, (356K),1h 58m
242. Hustle,7.3, (158K),1h 57m
243. Road Trip,6.5, (185K),1h 33m
244. Up,8.3, (1.2M),1h 36m
245. Ghosted,5.8, (75K),1h 56m
246. Weird Science,6.6, (103K),1h 34m
247. Frozen,7.4, (695K),1h 42m
248. Asteroid City,6.4, (137K),1h 45m
249. Office Space,7.6, (302K),1h 29m
250. Legally Blonde,6.5, (272K),1h 36m
251. Bad Boys: Ride or Die,6.5, (105K),1h 55m
252. The Waterboy,6.2, (188K),1h 30m
253. Billy Madison,6.4, (164K),1h 29m
254. Abigail,6.5, (103K),1h 49m
255. Kinds of Kindness,6.5, (63K),2h 44m
"256. Lock, Stock and Two Smoking Barrels",8.1, (639K),1h 47m
257. Scott Pilgrim vs. the World,7.5, (486K),1h 52m
258. Free Guy,7.1, (470K),1h 55m
259. Bridesmaids,6.8, (319K),2h 5m
260. Summer of 69,5.8, (2.5K),1h 41m
261. Inside Out 2,7.5, (228K),1h 36m
262. Moana,7.6, (423K),1h 47m
263. Bob Trevino Likes It,7.5, (3.6K),1h 41m
264. Notting Hill,7.2, (370K),2h 4m
265. Triangle of Sadness,7.3, (207K),2h 27m
266. The Nice Guys,7.4, (400K),1h 56m
267. Spaceballs,7.1, (220K),1h 36m
268. Love Hurts,5.3, (14K),1h 23m
269. Coyote Ugly,5.8, (126K),1h 40m
270. The Man from U.N.C.L.E.,7.2, (350K),1h 56m
271. The Threesome,6.7, (89),1h 52m
