Title,Rating,Votes,Duration
129. Furiosa: A Mad Max Saga,7.5, (297K),2h 28m
130. The Mummy,7.1, (487K),2h 4m
131. Cars,7.3, (512K),1h 56m
132. Prometheus,7.0, (682K),2h 4m
133. Uncharted,6.3, (288K),1h 56m
134. Independence Day,7.0, (633K),2h 25m
135. The Fifth Element,7.6, (531K),2h 6m
136. Harry Potter and the Goblet of Fire,7.7, (726K),2h 37m
137. Avengers: Age of Ultron,7.3, (971K),2h 21m
138. The Lion King,8.5, (1.2M),1h 28m
140. Wyatt Earp,6.7, (58K),3h 11m
141. Prey,7.1, (256K),1h 40m
142. Almost Famous,7.9, (307K),2h 2m
143. Tommy Boy,7.1, (102K),1h 37m
144. Game Night,6.9, (268K),1h 40m
145. The Terminator,8.1, (975K),1h 47m
146. Harry Potter and the Deathly Hallows: Part 2,8.1, (1M),2h 10m
147. Annihilation,6.8, (384K),1h 55m
148. Ratatouille,8.1, (901K),1h 51m
149. In the Lost Lands,4.7, (11K),1h 41m
150. The Killer,6.7, (214K),1h 58m
151. Spider-Man 2,7.5, (757K),2h 7m
152. Venom: The Last Dance,6.0, (137K),1h 50m
153. Finding Nemo,8.2, (1.2M),1h 40m
154. Casino Royale,8.0, (724K),2h 24m
155. Superman,7.4, (202K),2h 23m
156. The Happening,5.0, (224K),1h 31m
157. Kingsman: The Secret Service,7.7, (759K),2h 9m
158. Captain America: The First Avenger,6.9, (943K),2h 4m
159. E.T. the Extra-Terrestrial,7.9, (458K),1h 55m
160. The Hobbit: An Unexpected Journey,7.8, (909K),2h 49m
161. Star Trek,7.9, (632K),2h 7m
162. Harry Potter and the Deathly Hallows: Part 1,7.7, (639K),2h 26m
163. Harry Potter and the Prisoner of Azkaban,7.9, (738K),2h 22m
164. Moana 2,6.5, (114K),1h 40m
165. Dungeons & Dragons: Honor Among Thieves,7.2, (264K),2h 14m
166. Predator,7.8, (483K),1h 47m
167. Zack Snyder's Justice League,7.9, (462K),4h 2m
168. River of Blood,4.8, (2.3K),1h 26m
169. Spider-Man 3,6.3, (678K),2h 19m
170. Men in Black,7.3, (646K),1h 38m
171. Into the Wild,8.0, (684K),2h 28m
172. Star Wars: Episode I - The Phantom Menace,6.5, (903K),2h 16m
173. Mission: Impossible - Fallout,7.7, (407K),2h 27m
174. Suicide Squad,5.9, (746K),2h 3m
175. Hook,6.8, (284K),2h 22m
176. Guardians of the Galaxy Vol. 2,7.6, (805K),2h 16m
177. Iron Man 3,7.1, (941K),2h 10m
178. Eternals,6.2, (414K),2h 36m
179. Total Recall,7.5, (372K),1h 53m
180. Black Panther,7.3, (885K),2h 14m
182. Mission: Impossible,7.2, (504K),1h 50m
183. Apocalypto,7.8, (348K),2h 19m
185. The Secret Life of Walter Mitty,7.3, (360K),1h 54m
186. Jumanji: Welcome to the Jungle,7.0, (485K),1h 59m
187. The Revenant,8.0, (919K),2h 36m
188. Star Wars: Episode V - The Empire Strikes Back,8.7, (1.5M),2h 4m
189. Armageddon,6.7, (469K),2h 31m
190. Harry Potter and the Chamber of Secrets,7.5, (738K),2h 41m
191. Triple Frontier,6.5, (156K),2h 5m
192. Captain America: The Winter Soldier,7.7, (945K),2h 16m
193. Toy Story,8.3, (1.1M),1h 21m
194. The Hunger Games: Catching Fire,7.5, (755K),2h 26m
195. Mufasa: The Lion King,6.6, (74K),1h 58m
196. Speed,7.3, (412K),1h 56m
197. Lilo & Stitch,7.4, (236K),1h 25m
198. Coco,8.4, (664K),1h 45m
199. Pirates of the Caribbean: Dead Men Tell No Tales,6.5, (371K),2h 9m
200. War 2,7.1, (10K),2h 50m
201. The Day After Tomorrow,6.5, (501K),2h 4m
202. Spider-Man: Far from Home,7.4, (609K),2h 9m
203. The Return,6.2, (11K),1h 56m
204. The Time Masters,7.3, (7.1K),1h 18m
205. Doctor Strange in the Multiverse of Madness,6.9, (524K),2h 6m
206. Thor: Ragnarok,7.9, (867K),2h 10m
207. Transformers One,7.6, (57K),1h 44m
208. Ready Player One,7.4, (524K),2h 20m
209. The Super Mario Bros. Movie,7.0, (274K),1h 32m
210. Papillon,7.2, (93K),2h 13m
211. Pirates of the Caribbean: Dead Man's Chest,7.4, (805K),2h 31m
212. Black Widow,6.6, (461K),2h 14m
213. Tomb Raider,6.3, (236K),1h 59m
214. Indiana Jones and the Dial of Destiny,6.5, (224K),2h 34m
215. Skyfall,7.8, (756K),2h 23m
216. Spectre,6.8, (484K),2h 28m
217. Thor: Love and Thunder,6.1, (442K),1h 58m
218. WALL·E,8.4, (1.3M),1h 38m
219. World War Z,7.0, (761K),1h 56m
220. Indiana Jones and the Temple of Doom,7.5, (556K),1h 58m
221. Shrek,7.9, (783K),1h 30m
222. Star Wars: Episode IX - The Rise of Skywalker,6.4, (525K),2h 21m
223. National Treasure,6.9, (370K),2h 11m
224. Tron: Legacy,6.8, (370K),2h 5m
225. Barry Lyndon,8.1, (196K),3h 5m
226. Incredibles 2,7.5, (356K),1h 58m
227. A.I. Artificial Intelligence,7.2, (333K),2h 26m
228. Doctor Strange,7.5, (854K),1h 55m
229. Up,8.3, (1.2M),1h 36m
230. Ghosted,5.8, (76K),1h 56m
231. Shang-Chi and the Legend of the Ten Rings,7.3, (471K),2h 12m
232. Star Wars: Episode III - Revenge of the Sith,7.6, (895K),2h 20m
233. Frozen,7.4, (695K),1h 42m
234. The Count of Monte Cristo,7.7, (156K),2h 11m
235. Bad Boys: Ride or Die,6.5, (105K),1h 55m
236. Princess Mononoke,8.3, (466K),2h 13m
"237. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9, (447K),2h 23m
238. Free Guy,7.1, (470K),1h 55m
239. Inside Out 2,7.5, (228K),1h 36m
240. Moana,7.6, (423K),1h 47m
241. Highlander,7.0, (154K),1h 56m
242. Howl's Moving Castle,8.2, (491K),1h 59m
243. Spaceballs,7.1, (220K),1h 36m
244. Starship Troopers,7.3, (338K),2h 9m
245. X-Men,7.3, (679K),1h 44m
246. The Man from U.N.C.L.E.,7.2, (350K),1h 56m
247. Plane,6.5, (99K),1h 47m
248. The Magnificent Seven,6.9, (239K),2h 12m
249. Mission: Impossible II,6.1, (403K),2h 3m
250. Beauty and the Beast,7.1, (351K),2h 9m
251. The Last of the Mohicans,7.6, (200K),1h 52m
252. Pirates of the Caribbean: At World's End,7.1, (726K),2h 49m
253. Die Another Day,6.1, (236K),2h 13m
254. Now You See Me 2,6.4, (343K),2h 9m
255. Holes,7.0, (107K),1h 57m
256. Fantastic Mr. Fox,7.9, (291K),1h 27m
257. Fast X,5.7, (139K),2h 21m
"258. Monsters, Inc.",8.1, (1M),1h 32m
259. The Incredible Hulk,6.6, (550K),1h 52m
260. Inside Out,8.1, (880K),1h 35m
261. Godzilla x Kong: The New Empire,6.0, (126K),1h 55m
262. Pirates of the Caribbean: On Stranger Tides,6.6, (592K),2h 16m
263. The Wizard of Oz,8.1, (455K),1h 42m
264. Napoleon,6.3, (177K),2h 38m
265. The Secret of NIMH,7.5, (48K),1h 22m
266. The Legend of Ochi,5.8, (5.6K),1h 35m
267. Star Wars: Episode VII - The Force Awakens,7.7, (1M),2h 18m
268. The Amazing Spider-Man 2,6.6, (570K),2h 22m
269. A Knight's Tale,7.0, (213K),2h 12m
